job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings
18,Data Engineer,Enterprise,Healthcare,Australia,Onsite,Entry,0,Master,0,0,1,0,1,95420,2,2026,Medium,3
19,Machine Learning Engineer,Medium,Education,UK,Onsite,Entry,7,Master,1,0,0,0,1,121247,4,2021,Medium,1
20,AI Engineer,Medium,E-commerce,Germany,Hybrid,Mid,11,Master,1,0,0,0,1,183987,8,2022,High,2
21,Business Analyst,MNC,Retail,Australia,Hybrid,Entry,8,Master,1,1,0,1,0,104511,4,2021,High,7
22,Data Scientist,Startup,Healthcare,Australia,Remote,Entry,0,Bachelor,1,0,1,0,1,61344,8,2023,Low,5
23,AI Engineer,Startup,Retail,India,Hybrid,Senior,6,Master,0,0,1,0,1,171797,4,2023,Low,2
24,Machine Learning Engineer,MNC,Finance,Germany,Remote,Entry,4,PhD,1,0,0,1,0,174001,8,2020,Medium,7
25,Data Engineer,Enterprise,Retail,Germany,Hybrid,Senior,12,PhD,0,1,1,1,1,90442,3,2021,High,8
26,Business Analyst,Medium,Retail,UK,Hybrid,Entry,13,Master,0,0,1,0,1,52005,4,2022,Medium,2
27,AI Engineer,Enterprise,Finance,Germany,Remote,Entry,7,Bachelor,1,1,0,1,0,132598,10,2020,Low,8
28,Data Scientist,Startup,Healthcare,Singapore,Hybrid,Entry,3,Master,0,0,0,1,0,76890,9,2025,Medium,1
29,Data Scientist,Startup,Retail,India,Hybrid,Entry,14,Master,0,1,0,1,1,109103,5,2022,Medium,9
30,Data Analyst,Enterprise,Technology,UK,Hybrid,Entry,1,Master,0,1,0,0,0,51390,3,2026,Medium,9
31,Data Analyst,Startup,Retail,Canada,Hybrid,Entry,6,PhD,0,1,0,1,1,55405,3,2023,Medium,4
32,Machine Learning Engineer,Medium,Healthcare,Germany,Remote,Entry,12,PhD,0,1,1,0,1,92467,4,2026,High,9
33,AI Engineer,MNC,Education,Germany,Onsite,Senior,6,Bachelor,1,1,0,1,0,85394,2,2024,High,5
34,AI Engineer,Enterprise,Finance,USA,Remote,Mid,7,Master,1,0,1,0,0,86527,7,2026,Medium,1
35,Data Engineer,Medium,Education,Canada,Remote,Mid,13,Master,1,1,0,0,1,176567,7,2024,Low,8
36,Data Engineer,Medium,Healthcare,Canada,Remote,Entry,8,Master,0,1,1,1,1,53879,9,2022,High,4
37,Data Engineer,Startup,E-commerce,Singapore,Hybrid,Mid,13,Master,0,1,0,1,0,87731,8,2022,Medium,6
38,Data Analyst,Medium,Education,India,Hybrid,Senior,5,PhD,1,0,1,1,1,81445,3,2024,High,1
39,AI Engineer,Enterprise,Retail,Singapore,Onsite,Senior,2,Bachelor,0,0,1,0,0,78199,5,2020,Medium,1
40,AI Engineer,Medium,Retail,Canada,Hybrid,Senior,4,PhD,1,1,0,0,0,164886,8,2024,High,9
41,Data Scientist,MNC,Finance,Singapore,Onsite,Mid,13,Master,0,0,0,1,1,60561,8,2023,High,5
42,Data Analyst,Medium,Retail,Singapore,Onsite,Mid,13,PhD,0,0,0,1,1,158903,2,2021,Medium,7
43,Business Analyst,Medium,Technology,USA,Hybrid,Mid,2,Bachelor,1,0,0,1,0,194778,12,2022,High,6
44,Data Analyst,MNC,Technology,India,Onsite,Entry,9,Master,0,0,0,0,1,179520,1,2020,High,3
45,Business Analyst,Medium,Education,Singapore,Remote,Senior,8,Master,0,0,0,0,0,66841,5,2025,Medium,6
46,Data Scientist,Medium,Healthcare,Singapore,Remote,Senior,4,PhD,1,0,0,1,0,141013,1,2023,Medium,1
47,Machine Learning Engineer,Startup,Finance,Canada,Remote,Entry,6,PhD,1,0,1,0,0,172500,7,2021,Medium,5
48,AI Engineer,Enterprise,E-commerce,India,Onsite,Mid,9,PhD,1,1,1,1,1,83669,8,2020,Medium,3
49,Data Scientist,Startup,Education,Canada,Onsite,Senior,6,Bachelor,1,0,1,1,0,106052,11,2022,Low,5
50,AI Engineer,Enterprise,Healthcare,Canada,Remote,Mid,6,Bachelor,1,1,1,0,1,103449,6,2020,High,3
51,Data Engineer,MNC,Finance,Singapore,Hybrid,Entry,11,Bachelor,1,1,0,1,0,173239,3,2023,Medium,3
52,Machine Learning Engineer,MNC,Finance,Australia,Remote,Mid,9,Master,0,0,0,1,1,106918,12,2024,Medium,3
53,Machine Learning Engineer,MNC,Education,Canada,Hybrid,Entry,3,Master,0,0,1,1,0,149440,10,2022,Low,3
54,Data Scientist,Enterprise,Healthcare,Singapore,Hybrid,Mid,3,PhD,1,0,1,1,0,186356,1,2021,High,5
55,Machine Learning Engineer,Enterprise,Healthcare,Germany,Onsite,Entry,12,Master,0,0,1,1,1,181579,2,2025,Low,7
56,Business Analyst,Enterprise,Retail,Canada,Onsite,Senior,2,Bachelor,0,1,1,0,1,169960,2,2026,Medium,7
57,Machine Learning Engineer,MNC,E-commerce,Germany,Hybrid,Entry,3,Master,1,0,0,1,0,179451,10,2022,High,4
58,AI Engineer,Enterprise,Technology,UK,Hybrid,Mid,8,PhD,0,1,0,1,1,63371,2,2023,High,2
59,AI Engineer,Medium,Retail,Australia,Hybrid,Senior,4,PhD,0,0,0,0,0,128733,10,2026,High,8
60,AI Engineer,Startup,Finance,USA,Onsite,Mid,13,PhD,0,0,0,1,1,75251,5,2021,High,7
61,AI Engineer,MNC,E-commerce,India,Remote,Mid,5,PhD,1,1,1,0,1,100183,2,2023,Medium,9
62,Business Analyst,Startup,E-commerce,India,Hybrid,Entry,3,Master,0,1,1,1,1,198760,9,2022,Low,7
63,Data Analyst,Medium,Healthcare,UK,Onsite,Entry,12,PhD,1,1,1,0,0,143603,6,2020,High,5
64,Data Engineer,Enterprise,E-commerce,Canada,Remote,Mid,0,Master,1,0,1,0,0,190914,7,2023,Low,9
65,Data Scientist,Startup,Education,USA,Onsite,Entry,12,PhD,0,1,1,0,0,84532,3,2024,Low,8
66,AI Engineer,Medium,E-commerce,UK,Remote,Mid,6,PhD,0,1,1,1,1,132478,10,2026,Low,4
67,Machine Learning Engineer,Medium,Finance,UK,Onsite,Entry,12,Master,1,1,0,0,1,65812,7,2024,High,5
68,AI Engineer,Startup,Education,India,Remote,Entry,6,Bachelor,1,0,1,0,0,75425,4,2022,Medium,4
69,Machine Learning Engineer,MNC,Education,Germany,Hybrid,Mid,5,Bachelor,1,1,0,0,1,90927,8,2025,High,9
70,Data Engineer,Startup,Retail,Germany,Onsite,Senior,3,Bachelor,0,1,1,0,0,183161,9,2021,Low,7
71,Data Engineer,MNC,E-commerce,Canada,Remote,Entry,9,Bachelor,1,0,0,0,1,140089,5,2020,Low,5
72,Data Engineer,Enterprise,Healthcare,Canada,Remote,Mid,12,PhD,1,1,1,1,1,90963,3,2021,Low,1
73,Machine Learning Engineer,MNC,Retail,Singapore,Remote,Senior,7,Master,1,1,0,0,1,160901,11,2023,Low,6
74,AI Engineer,Enterprise,Healthcare,Singapore,Hybrid,Entry,11,Bachelor,1,1,0,1,1,143800,6,2022,Medium,2
75,Data Engineer,Startup,E-commerce,UK,Onsite,Entry,13,PhD,1,1,0,0,0,63086,3,2020,High,5
76,Business Analyst,Enterprise,Retail,Canada,Remote,Mid,7,Master,0,0,0,0,0,87967,6,2022,Low,9
77,Machine Learning Engineer,Medium,E-commerce,Germany,Hybrid,Entry,0,PhD,0,1,1,1,1,64396,7,2022,Medium,9
78,Machine Learning Engineer,Enterprise,Finance,USA,Hybrid,Mid,14,Bachelor,0,0,0,1,0,167113,6,2022,Medium,9
79,AI Engineer,MNC,Retail,India,Hybrid,Mid,8,Master,1,1,1,1,0,108754,4,2021,High,2
80,Machine Learning Engineer,MNC,Healthcare,Germany,Hybrid,Entry,7,Master,1,0,1,1,0,59134,7,2023,Low,4
81,Machine Learning Engineer,MNC,Finance,Singapore,Hybrid,Senior,1,PhD,0,0,1,1,0,180480,2,2023,Medium,9
82,Data Engineer,Enterprise,Technology,Australia,Hybrid,Entry,8,PhD,0,0,0,1,1,114002,5,2026,High,7
83,AI Engineer,MNC,Healthcare,Canada,Hybrid,Senior,3,Master,0,0,1,0,1,199506,6,2025,High,5
84,Data Engineer,MNC,E-commerce,India,Onsite,Entry,9,Bachelor,1,1,1,1,1,83244,6,2026,Medium,2
85,Data Engineer,Medium,Healthcare,Australia,Onsite,Senior,14,Bachelor,1,0,1,1,0,155554,5,2026,Medium,9
86,AI Engineer,Enterprise,Technology,India,Hybrid,Entry,13,Master,0,0,1,1,0,78730,10,2021,Low,2
87,Data Scientist,Medium,Healthcare,UK,Remote,Senior,11,Master,0,1,1,0,0,89970,5,2024,High,7
88,Data Engineer,MNC,Finance,Canada,Remote,Senior,5,Bachelor,1,0,1,1,1,66692,8,2020,High,9
89,Business Analyst,MNC,Education,UK,Remote,Entry,13,Bachelor,1,1,1,0,0,59615,5,2025,Low,4
90,Business Analyst,MNC,Healthcare,India,Hybrid,Entry,1,PhD,1,0,1,0,1,172231,11,2020,Low,9
91,Machine Learning Engineer,Enterprise,Retail,UK,Remote,Mid,9,PhD,0,1,0,1,0,199657,6,2021,High,8
92,Business Analyst,Startup,Technology,Canada,Onsite,Senior,3,Bachelor,0,1,0,1,0,169461,10,2022,High,7
93,Machine Learning Engineer,MNC,Healthcare,Germany,Onsite,Entry,1,Master,1,0,0,1,1,156864,1,2022,Low,8
94,Data Scientist,MNC,Technology,USA,Onsite,Mid,11,Master,0,1,0,0,1,188657,1,2023,Medium,4
95,AI Engineer,MNC,Education,Australia,Onsite,Entry,8,PhD,0,0,1,1,1,167012,1,2021,High,7
96,AI Engineer,MNC,Finance,Germany,Hybrid,Senior,14,Master,1,0,0,1,0,173560,4,2024,Medium,3
97,AI Engineer,Enterprise,Retail,India,Onsite,Entry,8,Master,1,0,0,0,0,53514,3,2024,High,5
98,Business Analyst,Startup,E-commerce,Germany,Remote,Entry,14,Master,0,1,1,0,0,158780,5,2020,High,2
99,Data Scientist,Startup,Healthcare,UK,Remote,Mid,4,Master,1,1,1,1,0,167047,7,2026,Medium,8
100,Business Analyst,Startup,Finance,Canada,Onsite,Entry,2,PhD,0,0,0,1,1,107533,6,2020,Low,2
101,Business Analyst,MNC,Technology,Germany,Onsite,Mid,2,Master,0,1,0,0,0,157224,3,2026,Low,7
102,Data Scientist,MNC,Education,Germany,Onsite,Senior,0,Bachelor,1,1,0,0,0,161839,2,2026,High,8
103,Data Scientist,Startup,Technology,Canada,Remote,Senior,12,PhD,0,0,0,1,0,186787,2,2022,Medium,6
104,Data Scientist,Startup,Education,UK,Remote,Entry,7,Master,0,1,0,0,0,148318,3,2026,Medium,4
105,Data Scientist,MNC,Education,USA,Onsite,Mid,2,Master,1,1,1,0,0,135185,10,2022,Medium,4
106,AI Engineer,MNC,Finance,Germany,Remote,Senior,11,Master,1,0,0,0,0,160324,3,2021,High,6
107,Data Analyst,Medium,Healthcare,Australia,Remote,Entry,3,PhD,1,0,0,1,1,79725,3,2022,High,8
108,Data Analyst,Medium,E-commerce,India,Hybrid,Entry,1,Master,1,1,0,1,1,111899,8,2022,Medium,9
109,Data Scientist,Medium,Healthcare,Singapore,Onsite,Entry,7,PhD,0,1,1,1,0,61430,3,2023,Medium,6
110,Data Analyst,Startup,Retail,UK,Onsite,Entry,2,Bachelor,0,1,0,1,1,135688,6,2026,Medium,3
111,Data Analyst,Enterprise,Healthcare,UK,Hybrid,Entry,13,Master,0,0,0,1,1,70462,9,2021,Medium,4
112,Data Scientist,MNC,Education,Germany,Hybrid,Mid,11,PhD,0,1,0,1,1,60558,8,2020,High,5
113,Data Analyst,Medium,Education,Australia,Remote,Entry,10,Bachelor,0,1,0,0,1,172871,6,2025,Low,3
114,Business Analyst,Enterprise,Retail,Singapore,Hybrid,Entry,1,PhD,1,1,1,1,0,192009,10,2021,Low,5
115,Machine Learning Engineer,MNC,Technology,Canada,Onsite,Entry,0,Master,1,0,0,0,1,166237,5,2026,Low,8
116,Machine Learning Engineer,Enterprise,Education,Singapore,Onsite,Entry,12,PhD,1,1,0,0,1,176235,5,2024,Low,4
117,Data Scientist,Startup,Retail,Germany,Onsite,Entry,13,Master,0,1,0,1,0,103187,8,2022,Low,7
118,AI Engineer,Startup,Education,Germany,Remote,Entry,9,PhD,1,0,0,0,0,133608,7,2025,Low,1
119,Data Scientist,Startup,E-commerce,Canada,Remote,Entry,1,Bachelor,0,1,1,0,1,119018,11,2020,Medium,7
120,AI Engineer,Medium,Education,India,Onsite,Senior,1,Master,1,1,1,0,1,173323,5,2021,Medium,1
121,Machine Learning Engineer,MNC,Finance,Canada,Onsite,Senior,12,Bachelor,1,0,0,0,1,186323,11,2025,Low,2
122,Data Scientist,Startup,Retail,Germany,Remote,Entry,3,Master,1,1,1,1,0,195948,10,2025,Low,1
123,Data Engineer,Medium,Healthcare,USA,Remote,Mid,10,PhD,1,1,1,0,1,110014,6,2020,High,3
124,Business Analyst,Medium,Retail,Canada,Hybrid,Entry,0,Bachelor,1,0,0,1,0,178625,12,2026,High,8
125,Data Analyst,Medium,Technology,India,Remote,Mid,14,Master,0,1,0,0,1,86826,5,2022,High,8
126,AI Engineer,Medium,Education,Canada,Remote,Mid,0,Bachelor,0,1,0,1,1,82159,11,2020,Low,7
127,Data Engineer,Startup,Retail,Canada,Onsite,Mid,5,Bachelor,0,1,0,1,0,77967,9,2020,High,7
128,Data Analyst,Medium,E-commerce,UK,Onsite,Mid,4,Master,0,1,0,1,0,89466,11,2020,High,5
129,Data Analyst,Startup,Retail,UK,Onsite,Mid,0,PhD,0,1,0,1,1,128179,6,2025,Low,9
130,Data Scientist,Startup,E-commerce,Germany,Hybrid,Senior,5,Bachelor,0,1,1,0,1,186514,3,2026,Low,1
131,Data Analyst,Medium,Education,Germany,Remote,Entry,13,Master,1,0,1,0,0,85796,3,2025,Low,4
132,Business Analyst,Startup,Healthcare,Singapore,Hybrid,Senior,7,Bachelor,1,0,0,0,0,128178,10,2024,Medium,6
133,Data Engineer,MNC,Education,Canada,Remote,Senior,12,Bachelor,1,0,1,0,1,152714,10,2023,Low,4
134,Data Analyst,MNC,Technology,USA,Remote,Entry,4,PhD,0,0,1,0,1,51811,4,2021,High,2
135,Data Scientist,Enterprise,Finance,Australia,Onsite,Senior,2,Master,0,1,1,0,0,192024,5,2025,Low,2
136,Business Analyst,MNC,Healthcare,Germany,Remote,Entry,2,Master,0,0,0,1,1,156658,12,2020,Medium,2
137,Machine Learning Engineer,Startup,Healthcare,Canada,Hybrid,Entry,12,Bachelor,1,0,1,1,0,171993,9,2024,Medium,7
138,Data Engineer,Startup,Finance,Canada,Onsite,Entry,10,PhD,1,0,1,0,1,124612,10,2020,High,5
139,Data Analyst,MNC,Retail,Australia,Hybrid,Entry,11,PhD,1,0,1,0,0,183780,11,2026,Medium,2
140,Data Scientist,Medium,Education,Canada,Hybrid,Mid,1,PhD,1,1,0,0,1,131128,2,2020,High,9
141,Machine Learning Engineer,Medium,Retail,Australia,Onsite,Mid,8,Master,1,1,1,1,1,76839,2,2026,Medium,2
142,Machine Learning Engineer,Startup,Retail,Australia,Remote,Senior,8,Master,1,1,1,0,0,121014,1,2023,Medium,7
143,AI Engineer,Medium,Education,Singapore,Hybrid,Entry,6,Bachelor,0,0,0,0,1,150480,8,2024,Low,1
144,Business Analyst,Enterprise,Technology,Canada,Remote,Entry,0,PhD,0,0,0,0,1,169981,1,2025,Medium,6
145,Data Analyst,Enterprise,Healthcare,Singapore,Onsite,Entry,0,PhD,1,0,0,0,0,131770,6,2023,Medium,6
146,Data Scientist,MNC,E-commerce,Canada,Remote,Entry,3,Master,1,0,0,0,0,141038,2,2024,Low,5
147,AI Engineer,MNC,Finance,UK,Remote,Mid,11,Bachelor,0,1,1,0,0,52622,9,2021,Low,7
148,Business Analyst,Medium,Healthcare,Australia,Onsite,Mid,1,Master,1,1,1,0,1,178785,4,2021,Medium,8
149,AI Engineer,Startup,Retail,India,Remote,Mid,12,Master,0,0,1,1,1,65805,10,2026,Low,2
150,Data Engineer,MNC,Finance,Australia,Hybrid,Senior,2,Bachelor,1,1,1,0,1,162616,11,2023,Medium,3
151,Business Analyst,Enterprise,E-commerce,India,Hybrid,Entry,1,PhD,1,0,1,1,1,199677,5,2021,Medium,8
152,Business Analyst,MNC,Healthcare,Canada,Hybrid,Mid,14,PhD,1,0,0,0,0,151736,2,2020,Medium,5
153,Data Analyst,MNC,Healthcare,Germany,Remote,Mid,0,Bachelor,1,1,0,0,1,151647,5,2021,Low,6
154,Business Analyst,Enterprise,Technology,USA,Hybrid,Entry,2,PhD,0,1,1,1,0,104388,7,2021,Low,4
155,AI Engineer,Startup,Healthcare,Singapore,Remote,Mid,6,Bachelor,0,0,1,1,0,112983,5,2021,Medium,1
156,Business Analyst,MNC,Healthcare,Canada,Remote,Entry,9,Bachelor,1,0,0,0,0,174343,1,2020,Low,8
157,Data Analyst,MNC,E-commerce,USA,Remote,Entry,8,Master,0,1,1,1,0,156679,9,2024,High,4
158,Data Analyst,MNC,E-commerce,UK,Remote,Mid,9,PhD,1,1,1,1,0,173015,2,2021,Low,9
159,Data Engineer,Medium,Finance,India,Onsite,Senior,8,PhD,0,0,1,0,0,121119,4,2021,Low,2
160,AI Engineer,MNC,Retail,Singapore,Hybrid,Entry,7,Bachelor,0,0,1,1,1,106534,6,2022,Low,8
161,Machine Learning Engineer,Enterprise,E-commerce,UK,Hybrid,Senior,5,Master,1,1,1,1,1,181425,1,2025,High,9
162,Machine Learning Engineer,Startup,Finance,Germany,Remote,Mid,0,Master,0,1,1,0,0,128999,9,2025,Medium,6
163,Business Analyst,Startup,Healthcare,Germany,Onsite,Entry,7,PhD,1,0,1,0,1,184005,9,2022,Medium,8
164,Data Engineer,Enterprise,Finance,Australia,Remote,Entry,7,Bachelor,0,1,0,0,0,180556,8,2025,High,4
165,Data Scientist,Medium,Finance,Singapore,Hybrid,Mid,13,PhD,1,0,0,1,1,95708,9,2024,Low,1
166,Business Analyst,Enterprise,Finance,Singapore,Hybrid,Senior,11,PhD,0,1,1,0,0,190291,4,2021,Low,2
167,Data Engineer,Startup,Education,Singapore,Onsite,Mid,8,Master,1,0,0,0,0,64205,9,2021,Low,1
168,AI Engineer,Enterprise,Finance,Canada,Remote,Mid,9,Master,0,1,0,1,1,71576,4,2024,High,9
169,AI Engineer,Medium,E-commerce,Australia,Onsite,Mid,10,Master,1,0,1,0,1,138984,5,2024,Low,5
170,AI Engineer,Startup,Education,Germany,Remote,Senior,11,Master,1,1,0,1,0,61604,6,2026,High,6
171,AI Engineer,Medium,Retail,Germany,Onsite,Entry,5,Bachelor,0,0,0,1,1,189395,11,2022,Low,8
172,AI Engineer,Enterprise,Finance,Australia,Hybrid,Entry,2,PhD,0,1,1,1,0,83615,7,2026,Medium,9
173,Data Engineer,MNC,Technology,UK,Onsite,Mid,5,Master,0,1,0,1,1,195432,11,2025,Low,3
174,Data Engineer,Enterprise,Healthcare,USA,Hybrid,Mid,7,PhD,1,1,1,1,0,69879,3,2025,High,2
175,Data Analyst,Medium,Healthcare,India,Hybrid,Senior,6,Bachelor,1,1,0,1,1,87382,2,2026,Medium,3
176,Machine Learning Engineer,Enterprise,Education,Germany,Remote,Mid,12,Master,0,1,0,1,0,76493,12,2020,Medium,6
177,AI Engineer,MNC,Healthcare,Australia,Onsite,Senior,7,Bachelor,0,1,1,0,1,63828,5,2026,Medium,1
178,Data Scientist,Medium,Healthcare,Germany,Onsite,Senior,2,Master,0,0,1,1,1,86647,10,2024,High,2
179,Data Engineer,Enterprise,Education,UK,Onsite,Senior,7,PhD,1,0,1,0,0,171263,3,2022,Low,8
180,Data Scientist,Medium,Healthcare,Singapore,Onsite,Mid,4,Bachelor,0,0,1,1,1,117674,11,2026,Low,8
181,Data Scientist,Medium,Finance,Singapore,Remote,Entry,6,Master,1,1,1,0,1,181057,3,2025,High,6
182,Data Scientist,Startup,Retail,India,Remote,Senior,12,PhD,1,0,0,1,0,119371,7,2023,Low,8
183,Data Analyst,Startup,Education,Singapore,Remote,Entry,3,PhD,1,1,0,0,1,103224,6,2020,High,8
184,Data Engineer,Medium,Technology,Singapore,Hybrid,Senior,2,PhD,1,0,1,0,1,171730,11,2022,Low,5
185,Data Scientist,Enterprise,Education,UK,Hybrid,Mid,5,Master,1,0,1,1,0,79294,12,2026,Medium,4
186,AI Engineer,Enterprise,E-commerce,USA,Hybrid,Senior,8,PhD,1,1,1,0,0,163868,3,2024,Medium,7
187,Business Analyst,Enterprise,Technology,UK,Remote,Senior,3,PhD,1,1,0,1,1,114985,7,2023,High,1
188,Data Scientist,MNC,E-commerce,India,Hybrid,Entry,11,Master,1,1,0,1,1,174983,10,2025,High,7
189,Data Analyst,Medium,Education,Singapore,Onsite,Mid,8,Bachelor,1,1,1,1,0,121957,11,2023,High,8
190,Data Engineer,Medium,E-commerce,India,Hybrid,Senior,2,PhD,0,1,0,0,1,97917,10,2024,Medium,3
191,Data Analyst,MNC,Technology,Germany,Remote,Mid,5,Master,0,1,0,0,1,158564,6,2026,Low,8
192,Data Scientist,Medium,Finance,USA,Remote,Entry,11,Bachelor,1,0,0,1,0,53023,1,2024,High,6
193,Data Engineer,Medium,Education,Canada,Remote,Mid,4,PhD,0,1,1,0,0,168550,5,2023,High,3
194,Business Analyst,MNC,Education,Germany,Remote,Mid,8,Master,0,1,1,1,0,138336,4,2020,Medium,6
195,Data Scientist,Startup,Healthcare,Singapore,Onsite,Entry,5,Master,0,0,1,0,0,167487,3,2023,Medium,6
196,Data Analyst,Medium,Education,Australia,Hybrid,Senior,1,PhD,1,0,1,1,0,143249,3,2024,High,4
197,Machine Learning Engineer,MNC,Education,UK,Hybrid,Senior,3,Bachelor,1,0,0,1,0,147006,8,2026,Medium,5
198,AI Engineer,Enterprise,Finance,UK,Remote,Mid,13,Bachelor,0,0,0,1,0,63804,3,2020,Medium,5
199,Data Analyst,Startup,Healthcare,India,Hybrid,Senior,4,Bachelor,1,0,1,0,1,184576,11,2025,Low,6
200,Data Engineer,Enterprise,Retail,Australia,Onsite,Entry,10,PhD,1,0,0,0,0,96370,2,2022,Low,6
201,Data Scientist,Medium,E-commerce,India,Remote,Mid,10,PhD,1,0,1,0,0,72952,5,2026,High,3
202,AI Engineer,Startup,Technology,Australia,Hybrid,Mid,8,Bachelor,1,0,1,1,1,188440,10,2021,Medium,2
203,Data Scientist,MNC,Retail,India,Hybrid,Senior,12,Bachelor,0,0,1,0,0,96000,3,2021,Low,1
204,Data Engineer,Medium,Healthcare,Canada,Hybrid,Senior,0,Bachelor,0,1,0,0,0,171064,10,2026,Low,1
205,Data Scientist,MNC,Finance,Canada,Hybrid,Senior,11,Bachelor,0,1,1,0,0,167486,3,2026,High,8
206,Machine Learning Engineer,Startup,Technology,Germany,Remote,Mid,8,Master,0,1,0,0,0,171053,8,2021,Medium,4
207,AI Engineer,Enterprise,E-commerce,Canada,Remote,Senior,9,PhD,1,1,0,0,1,116819,9,2022,Medium,5
208,AI Engineer,Medium,Education,Australia,Onsite,Mid,0,Bachelor,1,0,1,1,0,101425,2,2025,High,8
209,Data Engineer,Medium,Education,India,Remote,Senior,0,Master,1,0,0,0,1,130136,1,2022,High,7
210,Machine Learning Engineer,MNC,Retail,Australia,Hybrid,Mid,3,Bachelor,1,0,1,0,1,68409,8,2023,Low,4
211,Data Analyst,Startup,E-commerce,Germany,Hybrid,Mid,12,Bachelor,1,0,1,1,0,173160,12,2022,Low,7
212,Data Scientist,MNC,Healthcare,Germany,Hybrid,Mid,5,Master,1,1,1,1,0,199031,10,2022,High,3
213,Business Analyst,Startup,E-commerce,Singapore,Onsite,Senior,13,Bachelor,1,0,0,1,1,190056,10,2024,High,6
214,Data Scientist,Medium,Finance,USA,Remote,Senior,1,Bachelor,1,1,1,0,0,124034,6,2022,High,2
215,Data Scientist,Startup,Retail,Canada,Remote,Entry,0,Master,1,1,1,1,0,135880,12,2024,Medium,6
216,Data Analyst,Medium,Retail,UK,Remote,Mid,11,Master,1,1,0,0,1,119101,9,2023,Medium,6
217,Data Scientist,Startup,Finance,UK,Hybrid,Senior,3,Master,0,1,0,1,0,197898,12,2021,Low,3
218,Machine Learning Engineer,Enterprise,E-commerce,USA,Hybrid,Entry,7,Master,0,1,0,0,1,164337,1,2026,Low,9
219,Machine Learning Engineer,Startup,Finance,India,Hybrid,Entry,5,Master,1,1,0,1,1,74884,5,2026,High,5
220,AI Engineer,Enterprise,Technology,USA,Onsite,Senior,11,Bachelor,1,1,0,0,0,115326,5,2020,High,5
221,Data Engineer,Startup,Finance,India,Onsite,Mid,4,PhD,1,0,1,1,1,153831,3,2021,High,1
222,Business Analyst,Startup,E-commerce,Canada,Hybrid,Entry,0,Master,0,0,1,1,1,88460,2,2025,Low,4
223,Data Scientist,MNC,Finance,Canada,Onsite,Entry,2,PhD,1,1,0,0,0,72072,9,2023,Low,1
224,Data Scientist,MNC,Healthcare,Germany,Onsite,Mid,13,Bachelor,0,0,0,0,1,160273,11,2020,Low,1
225,Data Analyst,Medium,Education,Germany,Onsite,Senior,6,Master,1,0,0,0,1,139491,7,2021,High,7
226,Data Engineer,MNC,Finance,Germany,Remote,Mid,14,PhD,0,1,0,1,1,150722,9,2023,Low,5
227,Machine Learning Engineer,Startup,Education,Germany,Onsite,Mid,13,PhD,1,1,0,0,0,134641,3,2023,Low,8
228,Business Analyst,MNC,Finance,UK,Hybrid,Senior,9,PhD,0,1,0,1,0,62341,1,2024,Medium,4
